Application_name,Benchmark_name,[1]- Total no of Return statement:,[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[4]- Total no of Load Instructions:,[5]- Total no of Store Instructions:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[9]- Total no of Division(Float Datatype) instruction:,[10]-Total no of Division(Integer Datatype) instruction: ,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[14]-Total no of Subtraction(Float Datatype) instruction:,[15]-Total no of Subtraction(Integer Datatype) instruction:,[16]-Total no of Function Call instruction:,[17]-Total no of Functions:,[18]-Total no of Blocks:,[19]-Total no of Instructions:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[22]-Total no of Loop Operation:,[23]-Total no of Loop:,Data_size,Base Clock (Ghz),Boost Clock (Ghz),Total Cores (#),Memory Size (GB),Memory bandwidth (GB/s),Performance (Single Precision) (GFLOPS),Instruction per cycle (#),Memory Speed (Ghz/Gbps),Execution Time in Seconds,System,System
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.0460851192,740_1_GPU_Execution_time,2
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,256,0.993,1.003,384,2,28.8,762,2,1.8,0.0477969646,740_1_GPU_Execution_time,2
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.0489699841,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,125,0.993,1.003,384,2,28.8,762,2,1.8,0.0502939224,740_1_GPU_Execution_time,2
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.0580298901,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,75,0.993,1.003,384,2,28.8,762,2,1.8,0.0591170787811,740_2_GPU_Execution_time,4
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0611190796,740_1_GPU_Execution_time,2
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0613570213,760_GPU_Execution_time,6
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0617880821,760_GPU_Execution_time,6
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0620071888,760_GPU_Execution_time,6
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.062871933,760_GPU_Execution_time,6
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,1024,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0637161732,760_GPU_Execution_time,6
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,1024,0.98,1.033,1152,2,192.2,2257.9,2,6,0.063849926,760_GPU_Execution_time,6
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,256,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0640997887,760_GPU_Execution_time,6
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,1024,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0642950535,760_GPU_Execution_time,6
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,50,0.993,1.003,384,2,28.8,762,2,1.8,0.0652501583,740_1_GPU_Execution_time,2
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.0653779506683,740_2_GPU_Execution_time,4
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,100,0.993,1.003,384,2,28.8,762,2,1.8,0.0656261444092,740_2_GPU_Execution_time,4
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,1024,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0656609535,760_GPU_Execution_time,6
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,75,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0664849281,760_GPU_Execution_time,6
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.066929101944,740_2_GPU_Execution_time,4
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0672240257,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,150,0.993,1.003,384,2,28.8,762,2,1.8,0.0672998428,740_1_GPU_Execution_time,2
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,1024,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0673048496,760_GPU_Execution_time,6
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,50,0.98,1.033,1152,2,192.2,2257.9,2,6,0.068171978,760_GPU_Execution_time,6
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,1024,0.98,1.033,1152,2,192.2,2257.9,2,6,0.069108963,760_GPU_Execution_time,6
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0692601204,740_1_GPU_Execution_time,2
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.0705399513245,740_2_GPU_Execution_time,4
