Application_name,Benchmark_name,[1]- Total no of Return statement:,[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[4]- Total no of Load Instructions:,[5]- Total no of Store Instructions:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[9]- Total no of Division(Float Datatype) instruction:,[10]-Total no of Division(Integer Datatype) instruction: ,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[14]-Total no of Subtraction(Float Datatype) instruction:,[15]-Total no of Subtraction(Integer Datatype) instruction:,[16]-Total no of Function Call instruction:,[17]-Total no of Functions:,[18]-Total no of Blocks:,[19]-Total no of Instructions:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[22]-Total no of Loop Operation:,[23]-Total no of Loop:,Data_size,Base Clock (Ghz),Boost Clock (Ghz),Total Cores (#),Memory Size (GB),Memory bandwidth (GB/s),Performance (Single Precision) (GFLOPS),Instruction per cycle (#),Memory Speed (Ghz/Gbps),Execution Time in Seconds,System,System
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,524288,0.993,1.003,384,2,28.8,762,2,1.8,0.0961449146,740_1_GPU_Execution_time,2
DwtHaar1D ,amd,1,11,0,4,4,3,2,1,0,1,4,1,2,1,0,6,6,12,64,18,18,0,0,65536,0.993,1.003,384,2,28.8,762,2,1.8,0.0971288681,740_1_GPU_Execution_time,2
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.0972969532,740_1_CPU_Execution_time,1
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,524288,0.993,1.003,384,2,28.8,762,2,1.8,0.0973248482,740_1_GPU_Execution_time,2
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.097522974,740_1_GPU_Execution_time,2
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.0977449417,740_1_CPU_Execution_time,1
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,256,3.2,3.4,16,8,25.6,409.6,32,1.6,0.0978448391,760_CPU_Execution_time,5
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,512,0.993,1.003,384,2,28.8,762,2,1.8,0.0981099606,740_1_GPU_Execution_time,2
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0982298851013,740_2_GPU_Execution_time,4
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,262144,0.993,1.003,384,2,28.8,762,2,1.8,0.1002721787,740_1_GPU_Execution_time,2
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,4096,0.993,1.003,384,2,28.8,762,2,1.8,0.1003551483,740_1_GPU_Execution_time,2
DwtHaar1D ,amd,1,11,0,4,4,3,2,1,0,1,4,1,2,1,0,6,6,12,64,18,18,0,0,8192,0.993,1.003,384,2,28.8,762,2,1.8,0.1004650593,740_1_GPU_Execution_time,2
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,1024,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1007421017,760_CPU_Execution_time,5
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,128,3.4,4,32,4,34.1,870.4,32,2.133,0.102063894272,740_2_CPU_Execution_time,3
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1022791862,760_CPU_Execution_time,5
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1023769379,760_CPU_Execution_time,5
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.1024971008,740_1_CPU_Execution_time,1
DwtHaar1D ,amd,1,11,0,4,4,3,2,1,0,1,4,1,2,1,0,6,6,12,64,18,18,0,0,262144,0.993,1.003,384,2,28.8,762,2,1.8,0.1028330326,740_1_GPU_Execution_time,2
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.1031839848,740_1_CPU_Execution_time,1
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,2048,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1034760475,760_GPU_Execution_time,6
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.1048209667,740_1_GPU_Execution_time,2
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,1024,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1048519611,760_CPU_Execution_time,5
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1049900055,760_GPU_Execution_time,6
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1050429344,760_CPU_Execution_time,5
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,1024,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1051540375,760_CPU_Execution_time,5
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.105892896652,740_2_GPU_Execution_time,4
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,8192,0.993,1.003,384,2,28.8,762,2,1.8,0.106607914,740_1_GPU_Execution_time,2
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,256,0.993,1.003,384,2,28.8,762,2,1.8,0.1072530746,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,175,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1075370312,760_GPU_Execution_time,6
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,256,3.4,4,32,4,34.1,870.4,32,2.133,0.107951879501,740_2_CPU_Execution_time,3
2mm,polybench,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.108123064,740_1_CPU_Execution_time,1
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,256,0.993,1.003,384,2,28.8,762,2,1.8,0.1093080044,740_1_GPU_Execution_time,2
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,1024,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1100530624,760_CPU_Execution_time,5
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,1048576,0.993,1.003,384,2,28.8,762,2,1.8,0.1106808186,740_1_GPU_Execution_time,2
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.110799074173,740_2_GPU_Execution_time,4
gramschmidt,polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,128,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1109559536,760_CPU_Execution_time,5
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,1024,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1109700203,760_GPU_Execution_time,6
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,175,0.993,1.003,384,2,28.8,762,2,1.8,0.111387968063,740_2_GPU_Execution_time,4
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,2048,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1115880013,760_CPU_Execution_time,5
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.111697197,760_CPU_Execution_time,5
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,2048,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1129438877,760_CPU_Execution_time,5
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,128,3.4,4,32,4,34.1,870.4,32,2.133,0.1131899357,740_1_CPU_Execution_time,1
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1131908894,760_CPU_Execution_time,5
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,100,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1133339405,760_CPU_Execution_time,5
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.1133489609,740_1_CPU_Execution_time,1
2mm,polybench,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1133868694,760_GPU_Execution_time,6
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.113490819931,740_2_CPU_Execution_time,3
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.1135380268,740_1_CPU_Execution_time,1
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,50,3.4,4,32,4,34.1,870.4,32,2.133,0.113576889,740_1_CPU_Execution_time,1
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1139008999,760_CPU_Execution_time,5
BlackScholes ,amd,5,1,5,11,7,24,3,3,11,1,2,3,3,21,1,47,10,5,158,271,57,1,1,1048576,0.993,1.003,384,2,28.8,762,2,1.8,0.114552021,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,100,3.4,4,32,4,34.1,870.4,32,2.133,0.11493897438,740_2_CPU_Execution_time,3
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.115012168884,740_2_CPU_Execution_time,3
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,75,3.4,4,32,4,34.1,870.4,32,2.133,0.1152830124,740_1_CPU_Execution_time,1
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.115406990051,740_2_CPU_Execution_time,3
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,14336,0.993,1.003,384,2,28.8,762,2,1.8,0.1154191494,740_1_GPU_Execution_time,2
BinomialOptionMultiGPU,amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.116050005,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,100,3.4,4,32,4,34.1,870.4,32,2.133,0.1168529987,740_1_CPU_Execution_time,1
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.1171989441,740_1_CPU_Execution_time,1
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,128,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1173779964,760_CPU_Execution_time,5
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,50,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1174910069,760_CPU_Execution_time,5
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,256,3.4,4,32,4,34.1,870.4,32,2.133,0.1175220013,740_1_CPU_Execution_time,1
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,1024,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1183309555,760_CPU_Execution_time,5
fdtd2d,polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,128,0.993,1.003,384,2,28.8,762,2,1.8,0.1183340549,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,200,0.993,1.003,384,2,28.8,762,2,1.8,0.1186110973,740_1_GPU_Execution_time,2
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,256,0.993,1.003,384,2,28.8,762,2,1.8,0.1188189983,740_1_GPU_Execution_time,2
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,1024,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1190128326,760_CPU_Execution_time,5
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,256,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1190230846,760_GPU_Execution_time,6
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,128,3.4,4,32,4,34.1,870.4,32,2.133,0.119455099106,740_2_CPU_Execution_time,3
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,128,0.98,1.033,1152,2,192.2,2257.9,2,6,0.12003088,760_GPU_Execution_time,6
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,256,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1205580235,760_GPU_Execution_time,6
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,128,0.993,1.003,384,2,28.8,762,2,1.8,0.1208109856,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,75,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1215031147,760_CPU_Execution_time,5
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.122251033783,740_2_CPU_Execution_time,3
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,2048,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1224009991,760_CPU_Execution_time,5
2mm,polybench,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1228978634,760_CPU_Execution_time,5
BinomialOptionMultiGPU,amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,16384,0.993,1.003,384,2,28.8,762,2,1.8,0.1230900288,740_1_GPU_Execution_time,2
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,128,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1232149601,760_CPU_Execution_time,5
fdtd2d,polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,512,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1237688065,760_GPU_Execution_time,6
BinomialOption ,amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,16384,0.993,1.003,384,2,28.8,762,2,1.8,0.1239719391,740_1_GPU_Execution_time,2
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.1241431236,740_1_CPU_Execution_time,1
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,125,3.4,4,32,4,34.1,870.4,32,2.133,0.1245720387,740_1_CPU_Execution_time,1
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,4096,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1249108315,760_GPU_Execution_time,6
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,150,0.993,1.003,384,2,28.8,762,2,1.8,0.125049829483,740_2_GPU_Execution_time,4
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,125,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1253039837,760_CPU_Execution_time,5
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.125841856,740_1_CPU_Execution_time,1
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.126070022583,740_2_CPU_Execution_time,3
MatrixTranspose ,amd,1,0,0,8,8,0,21,14,0,0,0,0,21,0,0,8,9,1,125,12,73,0,0,128,0.993,1.003,384,2,28.8,762,2,1.8,0.126103878,740_1_GPU_Execution_time,2
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,128,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1269080639,760_CPU_Execution_time,5
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.1270520687,740_1_CPU_Execution_time,1
BinomialOption ,amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.127243042,740_1_GPU_Execution_time,2
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.128192901611,740_2_CPU_Execution_time,3
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.1292178631,740_1_CPU_Execution_time,1
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,4096,0.98,1.033,1152,2,192.2,2257.9,2,6,0.129224062,760_GPU_Execution_time,6
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.12942481041,740_2_CPU_Execution_time,3
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,200,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1295330524,760_GPU_Execution_time,6
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,4096,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1298489571,760_GPU_Execution_time,6
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,2048,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1310751438,760_CPU_Execution_time,5
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,256,3.4,4,32,4,34.1,870.4,32,2.133,0.1317591667,740_1_CPU_Execution_time,1
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1327080727,760_CPU_Execution_time,5
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.1330809593,740_1_CPU_Execution_time,1
syr2k,polybench,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1331059933,760_CPU_Execution_time,5
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.133347034454,740_2_CPU_Execution_time,3
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,512,0.993,1.003,384,2,28.8,762,2,1.8,0.1342749596,740_1_GPU_Execution_time,2
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.1344668865,740_1_CPU_Execution_time,1
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,125,3.4,4,32,4,34.1,870.4,32,2.133,0.135147094727,740_2_CPU_Execution_time,3
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.135660171509,740_2_CPU_Execution_time,3
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,256,0.993,1.003,384,2,28.8,762,2,1.8,0.135728120804,740_2_GPU_Execution_time,4
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.1363940239,740_1_CPU_Execution_time,1
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,256,0.993,1.003,384,2,28.8,762,2,1.8,0.136497020721,740_2_GPU_Execution_time,4
2mm,polybench,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.13750910759,740_2_CPU_Execution_time,3
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.138365030289,740_2_CPU_Execution_time,3
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,128,0.993,1.003,384,2,28.8,762,2,1.8,0.1388030052,740_1_GPU_Execution_time,2
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,2048,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1393611431,760_CPU_Execution_time,5
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,256,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1402890682,760_CPU_Execution_time,5
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,4096,0.993,1.003,384,2,28.8,762,2,1.8,0.1404280663,740_1_GPU_Execution_time,2
bicg,polybench,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.140523910522,740_2_CPU_Execution_time,3
fdtd2d,polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,128,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1409549713,760_CPU_Execution_time,5
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,4096,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1413149834,760_CPU_Execution_time,5
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,128,3.4,4,32,4,34.1,870.4,32,2.133,0.141770839691,740_2_CPU_Execution_time,3
correlation,polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,256,3.4,4,32,4,34.1,870.4,32,2.133,0.14266204834,740_2_CPU_Execution_time,3
mvt,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,4096,0.98,1.033,1152,2,192.2,2257.9,2,6,0.1433157921,760_GPU_Execution_time,6
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,256,3.2,3.4,16,8,25.6,409.6,32,1.6,0.1440811157,760_CPU_Execution_time,5
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,125,0.993,1.003,384,2,28.8,762,2,1.8,0.144646883,740_1_GPU_Execution_time,2
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.14552116394,740_2_CPU_Execution_time,3
DCT ,amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.1456551552,740_1_CPU_Execution_time,1
gramschmidt,polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,128,0.993,1.003,384,2,28.8,762,2,1.8,0.1471118927,740_1_GPU_Execution_time,2
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,128,0.993,1.003,384,2,28.8,762,2,1.8,0.147683858871,740_2_GPU_Execution_time,4
